# Program:featureCounts v1.6.2; Command:"featureCounts" "-a" "/athena/angsd/scratch/jiq4001//HW_Wk6/sacCer3.sgd.gtf" "-o" "featCounts_Gierlinski_genes.txt" "-t" "exon" "-g" "gene_id" "-f" "--minOverlap" "3" "--primary" "--tmpDir" "/scratchLocal" "/home/frd2007/ANGSD_2019/alignment/SNF2_1_Aligned.sortedByCoord.out.bam" "/home/frd2007/ANGSD_2019/alignment/SNF2_2_Aligned.sortedByCoord.out.bam" "/home/frd2007/ANGSD_2019/alignment/SNF2_3_Aligned.sortedByCoord.out.bam" "/home/frd2007/ANGSD_2019/alignment/SNF2_4_Aligned.sortedByCoord.out.bam" "/home/frd2007/ANGSD_2019/alignment/SNF2_5_Aligned.sortedByCoord.out.bam" "/home/frd2007/ANGSD_2019/alignment/WT_1_Aligned.sortedByCoord.out.bam" "/home/frd2007/ANGSD_2019/alignment/WT_2_Aligned.sortedByCoord.out.bam" "/home/frd2007/ANGSD_2019/alignment/WT_3_Aligned.sortedByCoord.out.bam" "/home/frd2007/ANGSD_2019/alignment/WT_4_Aligned.sortedByCoord.out.bam" "/home/frd2007/ANGSD_2019/alignment/WT_5_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/frd2007/ANGSD_2019/alignment/SNF2_1_Aligned.sortedByCoord.out.bam	/home/frd2007/ANGSD_2019/alignment/SNF2_2_Aligned.sortedByCoord.out.bam	/home/frd2007/ANGSD_2019/alignment/SNF2_3_Aligned.sortedByCoord.out.bam	/home/frd2007/ANGSD_2019/alignment/SNF2_4_Aligned.sortedByCoord.out.bam	/home/frd2007/ANGSD_2019/alignment/SNF2_5_Aligned.sortedByCoord.out.bam	/home/frd2007/ANGSD_2019/alignment/WT_1_Aligned.sortedByCoord.out.bam	/home/frd2007/ANGSD_2019/alignment/WT_2_Aligned.sortedByCoord.out.bam	/home/frd2007/ANGSD_2019/alignment/WT_3_Aligned.sortedByCoord.out.bam	/home/frd2007/ANGSD_2019/alignment/WT_4_Aligned.sortedByCoord.out.bam	/home/frd2007/ANGSD_2019/alignment/WT_5_Aligned.sortedByCoord.out.bam
YAL049C	chrI	51855	52595	-	741	1185	980	976	1174	829	462	578	475	782	515
YAL048C	chrI	52801	54789	-	1989	190	150	171	184	102	134	130	101	190	134
YAL047W-A	chrI	54584	54913	+	330	2	2	1	3	0	0	0	0	0	1
YAL047C	chrI	54989	56857	-	1869	301	222	238	361	186	108	193	146	234	202
YAL046C	chrI	57029	57385	-	357	399	397	303	389	324	211	234	195	315	256
YAL045C	chrI	57488	57796	-	309	4	3	4	3	2	0	3	2	4	2
YAL044W-A	chrI	57518	57850	+	333	92	84	65	96	71	36	38	39	64	36
YAL044C	chrI	57950	58462	-	513	881	879	989	1028	837	1502	1037	1022	2086	1099
YAL043C	chrI	58695	61052	-	2358	1278	1009	1031	1214	871	602	714	581	986	788
YAL042C-A	chrI	61231	61608	-	378	1	0	0	2	0	0	0	0	1	0
YAL042W	chrI	61316	62563	+	1248	5140	4611	4464	5081	3538	2689	2800	2340	3968	2889
YAL041W	chrI	62840	65404	+	2565	972	746	716	1025	617	415	645	428	713	661
YAL040C	chrI	65778	67520	-	1743	990	862	851	1056	675	376	955	450	784	863
YAL039C	chrI	68716	69525	-	810	2799	2323	2123	2630	1878	1559	1468	1330	2276	1516
YAL038W	chrI	71786	73288	+	1503	15401	16689	15721	16637	10422	21378	19089	14853	28924	20478
YAL037C-B	chrI	72326	73300	-	975	308	161	164	442	60	71	177	198	206	195
YAL037C-A	chrI	73426	73518	-	93	62	6	25	68	7	0	53	39	23	59
YAL037W	chrI	74020	74823	+	804	109	76	80	106	85	22	70	33	59	51
YAL036C	chrI	75043	76152	-	1110	463	514	499	577	292	335	605	351	529	696
YAL035W	chrI	76427	79435	+	3009	4692	4164	4492	5436	2986	2848	4211	3008	4476	4909
YAL034C-B	chrI	79489	79842	-	354	54	22	37	53	21	20	41	27	41	33
YAL034W-A	chrI	79718	80587	+	870	209	175	152	223	143	78	116	102	113	114
YAL034C	chrI	80710	81951	-	1242	814	745	709	1004	532	357	472	445	723	387
YAL033W	chrI	82706	83227	+	522	388	271	234	351	217	158	272	234	283	284
YAL032C	chrI	83335	84474	-	1140	933	733	748	1027	585	378	514	369	647	473
YAL031W-A	chrI	84669	84977	+	309	28	13	13	18	10	5	8	11	8	2
YAL031C	chrI	84749	87031	-	2283	882	726	646	979	475	284	458	409	534	454
YAL030W	chrI	87286	87387	+	102	192	144	117	213	138	77	102	109	135	108
YAL030W	chrI	87501	87752	+	252	835	679	640	851	637	322	391	381	636	320
YAL029C	chrI	87855	92270	-	4416	1629	1307	1443	1776	1046	669	1259	901	1261	1219
YAL028W	chrI	92900	94486	+	1587	765	643	577	815	406	344	352	309	509	316
YAL027W	chrI	94687	95472	+	786	337	256	220	322	198	145	235	200	305	259
YAL026C-A	chrI	95386	95823	-	438	70	23	31	55	22	6	29	27	37	20
YAL026C	chrI	95630	99697	-	4068	1276	1025	1060	1431	725	547	901	618	919	822
YAL025C	chrI	100225	101145	-	921	437	318	408	533	309	377	1123	528	670	1322
YAL024C	chrI	101565	105872	-	4308	385	318	323	477	264	122	257	172	223	214
YAL023C	chrI	106272	108551	-	2280	4847	4305	4214	4976	3328	2621	3253	2331	3998	3339
YAL022C	chrI	108877	110430	-	1554	1533	1462	1285	1616	1047	802	864	616	1070	948
YAL021C	chrI	110846	113359	-	2514	1449	1289	1102	1391	981	814	1135	858	1376	1073
YAL020C	chrI	113614	114615	-	1002	605	620	594	624	465	325	367	281	536	407
YAL019W-A	chrI	114250	114819	+	570	0	2	0	1	0	1	0	0	0	1
YAL019W	chrI	114919	118314	+	3396	591	526	628	720	389	374	788	391	631	873
YAL018C	chrI	118564	119541	-	978	4	1	0	6	4	0	1	2	6	7
YAL017W	chrI	120225	124295	+	4071	1666	1400	1541	2019	983	863	937	893	1347	832
YAL016C-B	chrI	124307	124492	-	186	92	65	97	102	73	24	36	45	56	19
YAL016C-A	chrI	124755	125069	-	315	41	28	15	35	14	21	34	31	32	24
YAL016W	chrI	124879	126786	+	1908	2470	1955	1897	2544	1569	1011	1578	1332	2022	1441
YAL015C	chrI	126903	128102	-	1200	895	664	644	821	524	322	350	295	499	351
YAL014C	chrI	128252	129019	-	768	1673	1385	1356	1644	1124	846	930	725	1144	948
YAL013W	chrI	129270	130487	+	1218	1825	1630	1542	1987	1233	782	972	730	1117	1081
YAL011W	chrI	132199	134076	+	1878	679	484	614	711	444	218	389	294	405	377
YAL010C	chrI	134184	135665	-	1482	511	370	377	568	293	182	345	287	423	266
YAL009W	chrI	135854	136633	+	780	548	409	443	566	368	205	297	239	374	255
YAL008W	chrI	136914	137510	+	597	694	568	559	712	514	278	362	350	600	298
YAL007C	chrI	137698	138345	-	648	1525	1280	1373	1615	1120	603	900	787	1192	845
YAL005C	chrI	139503	141431	-	1929	4339	4719	5669	5011	4236	5125	4315	5090	9402	3986
YAL004W	chrI	140760	141407	+	648	0	0	0	0	0	0	0	0	0	0
YAL003W	chrI	142174	142253	+	80	407	359	287	460	294	348	761	517	801	810
YAL003W	chrI	142620	143160	+	541	6719	5619	6022	6642	5132	5837	9169	6642	11803	9900
YAL002W	chrI	143707	147531	+	3825	722	536	616	778	399	268	457	442	622	445
YAL001C	chrI	147594	151006	-	3413	841	658	825	1042	514	311	423	381	557	404
YAL001C	chrI	151097	151166	-	70	2	0	2	4	1	2	3	4	2	5
YAR002W	chrI	152257	153876	+	1620	943	784	790	1068	632	417	819	591	803	836
YAR002C-A	chrI	154065	154724	-	660	2343	1954	2077	2655	1616	774	1364	1240	1819	1345
YAR003W	chrI	155005	156285	+	1281	784	616	602	769	479	302	473	373	520	489
YAR007C	chrI	156754	158619	-	1866	1332	973	997	1282	830	443	480	542	768	518
YAR008W	chrI	158966	159793	+	828	448	317	342	476	291	109	228	164	221	189
YAR009C	chrI	160597	164187	-	3591	6	15	6	12	4	31	52	39	74	41
YAR010C	chrI	164544	165866	-	1323	0	0	0	0	0	0	0	0	0	0
YAR014C	chrI	166742	168871	-	2130	1205	1102	1093	1325	823	654	893	631	950	925
YAR015W	chrI	169375	170295	+	921	1378	1469	1416	1315	1339	2565	1815	1669	4273	2050
YAR018C	chrI	170396	171703	-	1308	547	410	366	603	358	188	291	234	358	285
YAR019C	chrI	172211	175135	-	2925	513	406	351	528	303	176	323	228	364	253
YAR019W-A	chrI	174998	175330	+	333	11	6	5	7	8	4	4	1	1	5
YAR020C	chrI	176856	177023	-	168	60	42	57	62	43	28	29	35	42	29
YAR023C	chrI	179281	179820	-	540	138	107	114	128	100	64	81	86	139	76
YAR027W	chrI	183770	184477	+	708	1146	1065	1001	1290	894	548	703	668	1449	638
YAR028W	chrI	184892	185596	+	705	477	492	399	496	297	228	285	204	504	290
YAR029W	chrI	186321	186545	+	225	29	21	20	40	17	7	26	18	25	30
YAR030C	chrI	186512	186853	-	342	31	27	25	30	17	16	26	18	32	38
YAR031W	chrI	186836	187732	+	897	105	83	64	92	67	44	100	73	108	94
YAR033W	chrI	188107	188811	+	705	130	103	98	136	81	64	92	75	138	78
YAR035W	chrI	190193	192256	+	2064	592	482	491	580	341	194	136	147	226	150
YAR035C-A	chrI	192337	192417	-	81	12	7	0	8	8	1	0	2	1	2
YAR042W	chrI	192619	196185	+	3567	1695	1843	1844	2037	1178	1019	1121	869	1358	947
YAR047C	chrI	201467	201787	-	321	10	3	4	10	10	10	18	10	11	8
YAR050W	chrI	203403	208016	+	4614	196	172	171	194	142	123	116	92	159	152
YAR053W	chrI	208367	208663	+	297	22	17	13	18	20	1	5	2	8	9
YAR060C	chrI	217157	217492	-	336	0	0	0	0	0	0	0	0	0	0
YAR064W	chrI	220198	220497	+	300	11	16	14	17	11	10	8	5	14	2
YAR066W	chrI	221049	221660	+	612	1	7	5	1	3	1	4	1	2	1
YAR068W	chrI	222406	222891	+	486	5	6	4	1	5	3	3	0	1	3
YAR069C	chrI	224011	224304	-	294	0	0	0	0	0	0	0	0	0	0
YAR070C	chrI	224563	224862	-	300	2	0	1	0	1	0	1	0	0	0
YAR071W	chrI	225460	226863	+	1404	33	25	12	23	23	103	147	100	169	187
YAR073W	chrI	227742	228953	+	1212	7	11	0	8	9	8	10	5	14	10
YAR075W	chrI	228844	229317	+	474	8	5	4	9	3	3	8	7	4	4
Q0010	chrM	3952	4338	+	387	0	0	0	0	0	0	0	0	0	0
Q0017	chrM	4254	4415	+	162	0	0	0	0	0	0	0	0	0	0
Q0032	chrM	11667	11957	+	291	0	0	0	0	0	0	0	0	0	0
Q0045	chrM	13818	13986	+	169	0	0	0	0	0	0	0	0	0	0
Q0045	chrM	16435	16470	+	36	0	0	0	0	0	0	0	0	0	0
Q0045	chrM	18954	18991	+	38	0	0	0	0	0	0	0	0	0	0
Q0045	chrM	20508	20984	+	477	0	0	0	0	0	0	0	0	0	0
Q0045	chrM	21995	22246	+	252	0	0	0	0	0	0	0	0	0	0
Q0045	chrM	23612	23746	+	135	0	5	0	4	2	0	0	0	2	1
Q0045	chrM	25318	25342	+	25	0	0	0	0	0	0	0	0	0	0
Q0045	chrM	26229	26701	+	473	0	0	0	0	1	0	2	1	0	1
Q0070	chrM	13818	13986	+	169	0	0	0	0	0	0	0	0	0	0
Q0070	chrM	16435	16470	+	36	0	0	0	0	0	0	0	0	0	0
Q0070	chrM	18954	18991	+	38	0	0	0	0	0	0	0	0	0	0
Q0070	chrM	20508	20984	+	477	0	0	0	0	0	0	0	0	0	0
Q0070	chrM	21995	23167	+	1173	0	0	0	0	0	0	0	0	0	0
Q0065	chrM	13818	13986	+	169	0	0	0	0	0	0	0	0	0	0
Q0065	chrM	16435	16470	+	36	0	0	0	0	0	0	0	0	0	0
Q0065	chrM	18954	18991	+	38	0	0	0	0	0	0	0	0	0	0
Q0065	chrM	20508	21935	+	1428	0	0	0	0	0	0	0	0	0	0
Q0060	chrM	13818	13986	+	169	0	0	0	0	0	0	0	0	0	0
Q0060	chrM	16435	16470	+	36	0	0	0	0	0	0	0	0	0	0
Q0060	chrM	18954	19996	+	1043	0	0	0	0	0	0	0	1	0	0
Q0055	chrM	13818	13986	+	169	0	0	0	0	0	0	0	0	0	0
Q0055	chrM	16435	18830	+	2396	3	1	2	1	19	0	5	4	1	11
Q0050	chrM	13818	16322	+	2505	5	1	2	6	26	2	1	6	6	14
Q0075	chrM	24156	24870	+	715	0	0	0	0	0	0	0	0	0	1
Q0075	chrM	24906	25255	+	350	0	0	0	0	0	0	0	0	0	0
Q0080	chrM	27666	27812	+	147	0	0	0	0	0	0	0	0	0	0
Q0085	chrM	28487	29266	+	780	1	0	0	0	1	0	1	1	0	1
Q0092	chrM	30874	31014	+	141	0	0	0	0	0	0	0	0	0	0
Q0105	chrM	36540	36954	+	415	0	0	0	0	0	0	0	0	0	0
Q0105	chrM	37723	37736	+	14	0	0	0	0	0	0	0	0	0	0
Q0105	chrM	39141	39217	+	77	0	0	0	0	0	0	0	0	0	0
Q0105	chrM	40841	41090	+	250	0	0	0	0	0	0	0	0	0	0
Q0105	chrM	42508	42558	+	51	0	0	0	0	0	0	0	0	0	0
Q0105	chrM	43297	43647	+	351	0	0	0	0	3	0	1	0	0	0
Q0120	chrM	36540	36954	+	415	0	0	0	0	0	0	0	0	0	0
Q0120	chrM	37723	37736	+	14	0	0	0	0	0	0	0	0	0	0
Q0120	chrM	39141	39217	+	77	0	0	0	0	0	0	0	0	0	0
Q0120	chrM	40841	42251	+	1411	2	0	0	1	1	0	0	0	0	0
Q0115	chrM	36540	36954	+	415	0	0	0	0	0	0	0	0	0	0
Q0115	chrM	37723	37736	+	14	0	0	0	0	0	0	0	0	0	0
Q0115	chrM	39141	40265	+	1125	0	0	0	0	0	0	0	0	0	0
Q0110	chrM	36540	36954	+	415	0	0	0	0	0	0	0	0	0	0
Q0110	chrM	37723	38579	+	857	0	0	0	0	0	0	0	1	0	0
Q0130	chrM	46723	46953	+	231	3	2	0	2	6	1	1	1	1	3
Q0140	chrM	48901	50097	+	1197	0	0	0	0	0	0	0	0	0	0
Q0142	chrM	51052	51228	+	177	0	0	0	0	0	0	0	0	0	0
Q0143	chrM	51277	51429	+	153	0	0	0	0	0	0	0	0	0	0
Q0144	chrM	54109	54438	+	330	0	0	0	0	0	0	0	0	0	0
Q0160	chrM	61022	61729	+	708	0	0	2	1	5	0	0	0	0	2
Q0182	chrM	65770	66174	+	405	0	0	0	0	0	0	0	0	0	0
Q0250	chrM	73758	74513	+	756	1	0	0	2	4	0	1	4	0	1
Q0255	chrM	74495	75622	+	1128	0	0	0	0	0	0	0	0	0	0
Q0255	chrM	75663	75872	+	210	0	0	0	0	0	0	0	0	0	0
Q0255	chrM	75904	75984	+	81	0	0	0	0	0	0	0	0	0	0
Q0275	chrM	79213	80022	+	810	1	0	0	1	2	0	1	2	0	3
Q0297	chrM	85554	85709	+	156	0	0	0	0	0	0	0	0	0	0
YER054C	chrV	262052	263698	-	1647	762	523	470	743	466	405	224	457	606	261
YER114C	chrV	390590	393712	-	3123	1205	1085	1125	1350	686	557	796	565	873	732
YER169W	chrV	523369	525759	+	2391	747	472	486	695	372	355	593	409	628	571
YEL077C	chrV	264	4097	-	3834	284	215	191	285	139	94	76	72	117	99
YEL077W-A	chrV	630	1112	+	483	0	0	0	0	0	0	0	0	0	0
YEL076C-A	chrV	4185	4322	-	138	0	0	0	0	0	0	0	0	0	0
YEL076C-A	chrV	4602	5114	-	513	0	0	0	0	0	0	0	0	0	0
YEL076C	chrV	4464	5114	-	651	0	0	0	0	0	0	0	0	0	0
YEL075W-A	chrV	4870	5481	+	612	0	0	0	0	0	0	0	0	0	0
YEL075C	chrV	5345	5713	-	369	0	0	0	0	0	0	0	0	0	0
YEL074W	chrV	6126	6464	+	339	25	18	12	18	20	9	20	19	14	21
YEL073C	chrV	7230	7553	-	324	77	67	63	76	78	73	56	61	163	63
YEL072W	chrV	13720	14415	+	696	250	152	154	239	130	55	127	84	129	117
YEL071W	chrV	16355	17845	+	1491	7370	4556	4734	6587	4403	1517	2494	1814	2731	2189
YEL070W	chrV	19589	21097	+	1509	143	100	80	107	54	53	37	48	80	30
YEL069C	chrV	21537	23231	-	1695	31	26	26	32	23	30	27	21	41	38
YEL068C	chrV	25646	25978	-	333	344	222	208	305	236	109	163	128	208	170
YEL067C	chrV	26189	26776	-	588	147	113	97	136	88	43	62	55	73	74
YEL066W	chrV	26667	27206	+	540	615	600	570	636	469	174	129	118	231	138
YEL065W	chrV	27657	29543	+	1887	650	532	474	728	364	675	1304	773	1115	1258
YEL064C	chrV	29797	31239	-	1443	406	283	253	399	221	135	190	152	269	180
YEL063C	chrV	31694	33466	-	1773	1504	1205	1041	1651	848	628	880	674	1012	832
YEL062W	chrV	34407	36254	+	1848	407	306	302	396	208	145	236	217	244	220
YEL061C	chrV	36535	39537	-	3003	597	385	403	567	298	153	385	220	373	394
YEL060C	chrV	40046	41953	-	1908	6678	6295	7028	6978	4796	4162	3771	3603	7073	3186
YEL059C-A	chrV	42400	42624	-	225	164	135	126	170	110	73	71	70	145	64
YEL059W	chrV	42652	42960	+	309	120	77	52	100	64	29	44	47	65	53
YEL058W	chrV	43252	44925	+	1674	4290	3693	3644	4475	2719	1910	1725	1785	2794	1779
YEL057C	chrV	45020	45721	-	702	107	51	49	75	43	22	47	39	39	44
YEL056W	chrV	47168	48373	+	1206	1181	972	890	1191	739	497	795	642	929	612
YEL055C	chrV	48471	51539	-	3069	801	692	745	934	543	498	1044	681	942	1030
YEL054C	chrV	52721	53218	-	498	1919	1281	1373	1790	1279	1010	2250	1585	2408	2145
YEL053W-A	chrV	52908	53255	+	348	10	5	3	6	3	3	8	11	9	7
YEL053C	chrV	53901	56102	-	2202	639	479	504	619	390	248	578	380	516	550
YEL052W	chrV	56571	58100	+	1530	1904	1537	1431	1725	1142	785	1021	843	1364	957
YEL051W	chrV	58378	59148	+	771	3347	2829	2945	3760	2284	1517	2200	1816	2836	2150
YEL050W-A	chrV	59549	59740	+	192	34	22	33	47	26	14	30	28	24	23
YEL050C	chrV	59670	60851	-	1182	775	632	597	795	490	396	563	473	648	539
YEL049W	chrV	63728	64090	+	363	31	25	24	29	20	15	21	9	12	17
YEL048C	chrV	64709	65167	-	459	62	45	36	49	32	25	73	50	66	74
YEL047C	chrV	65385	66797	-	1413	2182	1845	1828	2218	1503	1041	1477	1229	1938	1611
YEL046C	chrV	67629	68792	-	1164	2956	2789	2778	2643	1984	2588	3029	2530	4056	2998
YEL045C	chrV	68840	69265	-	426	94	101	51	99	73	74	126	100	140	119
YEL044W	chrV	69757	70257	+	501	2507	1918	1952	2326	1707	564	792	630	979	861
YEL043W	chrV	70478	73348	+	2871	1626	1461	1140	1708	1097	786	970	755	1287	940
YEL042W	chrV	73771	75327	+	1557	1770	1572	1616	2090	1205	931	1305	1052	1388	1314
YEL041W	chrV	75944	77431	+	1488	280	234	211	260	193	110	153	137	188	117
YEL040W	chrV	78053	79456	+	1404	2849	2504	2478	2670	2262	4388	5050	3825	6965	5930
YEL039C	chrV	79636	79977	-	342	698	513	458	714	411	381	464	567	745	359
YEL038W	chrV	80462	81145	+	684	1796	1608	1632	1918	1300	786	872	834	1273	958
YEL037C	chrV	81407	82603	-	1197	3354	2874	3091	3728	2326	1721	1886	1789	2805	2124
YEL036C	chrV	83050	84552	-	1503	2132	1619	1554	2084	1291	976	1576	1118	1557	1512
YEL035C	chrV	85045	85545	-	501	39	28	27	39	15	3	7	11	8	7
YEL034C-A	chrV	85613	86215	-	603	32	17	10	40	24	21	39	27	40	43
YEL034W	chrV	85676	86149	+	474	0	0	0	0	0	0	0	0	0	0
YEL033W	chrV	86179	86598	+	420	429	173	234	478	182	89	477	477	453	381
YEL032W	chrV	86937	89852	+	2916	1261	1044	1053	1352	776	567	879	590	866	908
YEL032C-A	chrV	87040	87201	-	162	0	0	0	0	0	0	0	0	0	0
YEL031W	chrV	90258	93905	+	3648	4944	3971	4348	5233	3176	2504	3661	2717	4196	3576
YEL030C-A	chrV	94583	94897	-	315	2	1	0	1	0	0	1	0	3	0
YEL030W	chrV	94644	96578	+	1935	223	209	207	188	133	127	144	142	182	114
YEL029C	chrV	96858	97796	-	939	227	156	233	215	158	111	239	184	255	232
YEL028W	chrV	98668	99129	+	462	135	111	99	99	96	55	81	73	104	100
YEL027W	chrV	100769	101251	+	483	8183	7796	8357	9682	6186	4420	5846	4899	7642	6181
YEL026W	chrV	101943	102323	+	381	2548	1823	1961	2601	1968	1473	3089	2054	3214	3372
YEL025C	chrV	102581	106147	-	3567	1088	774	760	1150	571	357	612	454	723	553
YEL024W	chrV	107260	107907	+	648	731	516	561	629	442	377	354	480	640	290
YEL023C	chrV	108504	110552	-	2049	385	256	281	391	228	110	246	172	242	249
YEL022W	chrV	111421	115800	+	4380	1349	1076	1212	1586	841	588	1143	760	1153	1036
YEL021W	chrV	116167	116970	+	804	0	0	0	0	0	0	0	0	0	0
YEL020C-B	chrV	117183	117380	-	198	6	8	5	8	5	3	1	5	7	6
YEL020W-A	chrV	117211	117474	+	264	134	104	116	151	107	50	78	61	118	87
YEL020C	chrV	118617	120299	-	1683	778	761	695	783	563	388	362	361	748	397
YEL019C	chrV	120498	121301	-	804	62	50	39	57	29	19	36	23	44	53
YEL018C-A	chrV	121455	121988	-	534	0	0	0	1	0	0	0	0	0	0
YEL018W	chrV	121471	122310	+	840	262	177	294	288	179	92	145	119	206	125
YEL017C-A	chrV	122798	122929	-	132	2365	2072	1685	3141	1887	1154	2085	1478	2437	2074
YEL017W	chrV	123657	124670	+	1014	785	654	556	749	515	342	487	384	548	426
YEL016C	chrV	124737	126218	-	1482	507	462	400	542	334	278	386	286	455	373
YEL015W	chrV	126629	128284	+	1656	1400	1300	1237	1582	1027	705	1206	928	1276	1125
YEL014C	chrV	128303	128608	-	306	45	36	47	67	34	11	41	27	39	42
YEL013W	chrV	128825	130561	+	1737	1294	868	920	1267	670	532	824	741	1064	706
YEL012W	chrV	131772	131776	+	5	8	4	1	3	1	1	4	2	3	4
YEL012W	chrV	131900	132551	+	652	1518	1070	1127	1562	996	497	582	687	976	528
YEL011W	chrV	133120	135234	+	2115	6587	5710	5074	6984	3684	4512	3671	4738	7222	2918
YEL010W	chrV	136279	136629	+	351	1	1	0	0	4	0	0	0	0	1
YEL009C-A	chrV	136371	136778	-	408	2	2	1	3	0	0	0	1	0	1
YEL009C	chrV	138918	139763	-	846	9677	9456	10292	9736	7696	5571	8051	6384	10570	8119
YEL008W	chrV	140512	140892	+	381	34	39	29	38	24	8	10	7	17	8
YEL008C-A	chrV	140726	140818	-	93	0	0	0	0	0	0	0	0	0	0
YEL007W	chrV	141892	143892	+	2001	1326	1220	1029	1420	1069	739	1323	861	1324	1062
YEL006W	chrV	144327	145334	+	1008	688	480	541	676	419	297	513	422	629	488
YEL005C	chrV	145907	146755	-	849	287	226	244	315	203	111	198	176	252	194
YEL004W	chrV	146951	147979	+	1029	269	164	169	212	138	75	188	162	249	189
YEL003W	chrV	148176	148194	+	19	19	13	16	24	10	7	14	17	13	17
YEL003W	chrV	148283	148599	+	317	441	305	341	427	280	152	360	282	398	332
YEL002C	chrV	148722	150014	-	1293	2943	2465	2440	3111	2044	1051	1692	1401	2164	1721
YEL001C	chrV	150301	150978	-	678	2524	2078	1941	2698	1663	962	1476	1203	1984	1453
YER001W	chrV	153520	155808	+	2289	351	254	262	314	158	673	973	791	1317	1023
