category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology
GO:0023052,5.795923211171131e-7,0.9999998588198796,31,6429,signaling,BP
GO:0006471,5.902668055626792e-7,0.9999999935594338,4,33,protein ADP-ribosylation,BP
GO:0097159,5.995054082628363e-7,0.99999985467123,30,6183,organic cyclic compound binding,MF
GO:0007154,6.281080931966895e-7,0.999999846305144,31,6456,cell communication,BP
GO:0002697,1.179321917592283e-6,0.9999999122335621,8,388,regulation of immune effector process,BP
GO:0003727,1.2463274855622995e-6,0.9999999665086818,5,92,single-stranded RNA binding,MF
GO:0001817,1.3161498317578948e-6,0.9999998599085625,10,707,regulation of cytokine production,BP
GO:0001818,1.5673303657839476e-6,0.9999999045700465,7,290,negative regulation of cytokine production,BP
GO:0008150,1.6861906930405996e-6,0.9999997683486157,52,17874,biological_process,BP
GO:1901363,1.6975312922715514e-6,0.9999995667516659,29,6096,heterocyclic compound binding,MF
GO:0044424,2.191628314961304e-6,0.9999995361506948,47,14612,intracellular part,CC
GO:0005622,2.2485750796722056e-6,0.9999995234102934,47,14622,intracellular,CC
GO:0016763,2.4785987695594246e-6,0.9999999600798264,4,47,"transferase activity, transferring pentosyl groups",MF
GO:0001816,3.2441120688161515e-6,0.9999996169034336,10,778,cytokine production,BP
GO:0035639,4.068642133417622e-6,0.9999992441377955,15,1796,purine ribonucleoside triphosphate binding,MF
GO:0003674,4.089030162504692e-6,0.9999993245935161,51,17267,molecular_function,MF
GO:0098586,4.165156057106521e-6,0.9999999227280024,4,56,cellular response to virus,BP
GO:1990404,4.428757062175478e-6,0.999999972467601,3,15,protein ADP-ribosylase activity,MF
GO:0044464,6.384742577348718e-6,0.9999988058565603,50,16770,cell part,CC
GO:0032555,6.399896349298253e-6,0.9999987632370178,15,1861,purine ribonucleotide binding,MF
GO:0050789,6.420666796457972e-6,0.9999982899950942,41,11774,regulation of biological process,BP
GO:0017076,6.9729171811165205e-6,0.9999986423483491,15,1874,purine nucleotide binding,MF
GO:0032553,7.049698868973329e-6,0.9999986260773672,15,1877,ribonucleotide binding,MF
GO:0005623,7.374784094938954e-6,0.9999986081513846,50,16837,cell,CC
GO:0060760,8.128984073056094e-6,0.9999998209838191,4,57,positive regulation of response to cytokine stimulus,BP
GO:0050794,8.203825159775557e-6,0.9999977250442463,39,10751,regulation of cellular process,BP
GO:0043168,9.518068907096821e-6,0.999997825071788,18,2749,anion binding,MF
GO:0036094,9.545644475168905e-6,0.9999979009309455,17,2481,small molecule binding,MF
GO:0044444,9.728662706416306e-6,0.9999972136253364,36,9556,cytoplasmic part,CC
GO:0071360,9.893906608132556e-6,0.9999999177814068,3,17,cellular response to exogenous dsRNA,BP
GO:0097367,9.99243758221081e-6,0.9999978889284904,16,2200,carbohydrate derivative binding,MF
GO:0032069,1.0101404244999705e-5,0.9999999126633854,3,22,regulation of nuclease activity,BP
GO:0001730,1.1622780820321936e-5,0.9999999925653991,2,3,2'-5'-oligoadenylate synthetase activity,MF
GO:0045089,1.1896633493327863e-5,0.9999990064643649,7,376,positive regulation of innate immune response,BP
GO:0080134,1.4323273891625532e-5,0.9999973641139154,13,1569,regulation of response to stress,BP
GO:0005575,1.8130993140036366e-5,0.9999970869436604,52,18853,cellular_component,CC
GO:0039528,1.889403239604805e-5,0.9999997943110611,3,27,cytoplasmic pattern recognition receptor signaling pathway in response to virus,BP
GO:0071359,1.935791654709771e-5,0.9999997916523997,3,22,cellular response to dsRNA,BP
GO:0034343,1.950890823888792e-5,0.9999999838228383,2,3,type III interferon production,BP
GO:0034344,1.950890823888792e-5,0.9999999838228383,2,3,regulation of type III interferon production,BP
GO:0004386,2.4151737471911443e-5,0.9999987810428136,5,162,helicase activity,MF
GO:0050778,2.448070512006066e-5,0.9999967557417851,9,771,positive regulation of immune response,BP
GO:0009987,2.4846822723100027e-5,0.9999942078395534,48,16356,cellular process,BP
GO:0000166,2.511806033425741e-5,0.999994517284799,15,2107,nucleotide binding,MF
GO:1901265,2.523541311500727e-5,0.9999944893386705,15,2108,nucleoside phosphate binding,MF
GO:0003373,2.800222672458455e-5,0.9999999606518659,2,4,dynamin family protein polymerization involved in membrane fission,BP
GO:0003374,2.800222672458455e-5,0.9999999606518659,2,4,dynamin family protein polymerization involved in mitochondrial fission,BP
GO:0002230,2.8082613755736348e-5,0.9999996516987927,3,26,positive regulation of defense response to virus by host,BP
GO:0065007,3.480114643586977e-5,0.9999897608096381,41,12454,biological regulation,BP
GO:0060759,4.166984794317826e-5,0.999997634694722,5,186,regulation of response to cytokine stimulus,BP
GO:0003676,4.55675901554644e-5,0.999987196781937,21,4222,nucleic acid binding,MF
GO:0043226,4.579698153571386e-5,0.9999867955451045,43,13675,organelle,CC
GO:0002684,4.8770022448939364e-5,0.999992053227793,10,1052,positive regulation of immune system process,BP
GO:0043167,5.222295618105538e-5,0.9999837726727161,27,6155,ion binding,MF
GO:0003824,5.690153883846985e-5,0.9999825989635652,25,5656,catalytic activity,MF
GO:0048583,5.851968249747274e-5,0.9999832417622136,21,4181,regulation of response to stimulus,BP
GO:0035549,6.531519488314423e-5,0.9999998596233222,2,4,positive regulation of interferon-beta secretion,BP
GO:0048584,6.872437680563993e-5,0.9999835406080275,15,2358,positive regulation of response to stimulus,BP
GO:0043229,7.319714697340282e-5,0.9999774398731568,41,12865,intracellular organelle,CC
GO:0050691,7.322710557490733e-5,0.9999987114350427,3,37,regulation of defense response to virus by host,BP
GO:0065009,7.631905655242416e-5,0.999980009749744,17,2963,regulation of molecular function,BP
GO:0017111,7.747658431764315e-5,0.9999880491626645,9,854,nucleoside-triphosphatase activity,MF
GO:0031349,8.130388882212326e-5,0.9999907612616,7,514,positive regulation of defense response,BP
GO:0070647,8.188860915191287e-5,0.9999857790937383,10,1100,protein modification by small protein conjugation or removal,BP
GO:0009597,8.229849431388757e-5,0.9999997488630689,2,6,detection of virus,BP
GO:0035546,9.366820821305927e-5,0.99999971975453,2,5,interferon-beta secretion,BP
GO:0035547,9.366820821305927e-5,0.99999971975453,2,5,regulation of interferon-beta secretion,BP
GO:0044764,1.1063031217777059e-4,0.9999977304989843,3,48,multi-organism cellular process,BP
GO:0016462,1.1657417865334957e-4,0.9999810028849463,9,903,pyrophosphatase activity,MF
GO:0043231,1.1781903022642637e-4,0.9999608992324539,37,11174,intracellular membrane-bounded organelle,CC
GO:0016817,1.1913459162289629e-4,0.9999805284961697,9,906,"hydrolase activity, acting on acid anhydrides",MF
GO:0016818,1.1913459162289629e-4,0.9999805284961697,9,906,"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",MF
GO:0043227,1.3055767686601655e-4,0.9999576316996057,40,12663,membrane-bounded organelle,CC
GO:0043330,1.376669435353521e-4,0.9999969637102667,3,46,response to exogenous dsRNA,BP
GO:0039530,1.668284444144763e-4,0.999999162016228,2,10,MDA-5 signaling pathway,BP
GO:0005515,1.6757748455581423e-4,0.9999435213361468,38,11611,protein binding,MF
GO:0097677,1.794540162542464e-4,0.9999991107394197,2,8,STAT family protein binding,MF
GO:0043331,2.021920122759592e-4,0.999994885406892,3,53,response to dsRNA,BP
GO:0002253,2.1368807100235804e-4,0.9999715364875886,7,601,activation of immune response,BP
GO:0048518,2.1791502582603015e-4,0.9999265523743411,25,6062,positive regulation of biological process,BP
GO:0034058,2.2677882059231867e-4,0.9999986706786208,2,10,endosomal vesicle fusion,BP
GO:0072642,2.3436493895916325e-4,0.9999986334653682,2,9,interferon-alpha secretion,BP
GO:1902739,2.3436493895916325e-4,0.9999986334653682,2,9,regulation of interferon-alpha secretion,BP
GO:1902741,2.3436493895916325e-4,0.9999986334653682,2,9,positive regulation of interferon-alpha secretion,BP
GO:0070213,2.467580844875861e-4,0.9999984643489298,2,11,protein auto-ADP-ribosylation,BP
GO:0090148,2.606475227628032e-4,0.9999983325783576,2,11,membrane fission,BP
GO:0035457,2.607659434319025e-4,0.9999983314393112,2,11,cellular response to interferon-alpha,BP
GO:0002753,2.6256518359246315e-4,0.9999926964029769,3,62,cytoplasmic pattern recognition receptor signaling pathway,BP
GO:0072641,2.8249579298172614e-4,0.9999981504435607,2,10,type I interferon secretion,BP
GO:0032101,2.9143171031251864e-4,0.9999523088402607,8,843,regulation of response to external stimulus,BP
GO:0032269,3.0320723794834283e-4,0.9999436630250946,9,1099,negative regulation of cellular protein metabolic process,BP
GO:0061025,3.160590491915421e-4,0.9999815024482767,4,153,membrane fusion,BP
GO:0035563,3.4275831604906623e-4,0.9999974171713746,2,13,positive regulation of chromatin binding,BP
